SSC-HYGROTERM-LOGFILE als CSV-Liste
Spalten:
Datum-Zeit T:M:YYYY Std:Min:Sek, Raumtemperatur in °C, Relative Luftfeute in %, Luftdruck in hPa, Taupunkt 100%, Absulute Luftfeuchte in g/m³,Lipo Spannung in V
2.11.2018 2:16:0,21.07,50.1,990.91,10.29,9.22,3.68
2.11.2018 2:17:1,21.07,50.3,990.89,10.33,9.25,3.67
2.11.2018 2:18:0,21.07,50.0,990.89,10.26,9.20,3.66
2.11.2018 2:19:0,21.06,50.1,990.90,10.28,9.21,3.66
2.11.2018 2:19:59,21.04,50.2,990.91,10.27,9.21,3.66
2.11.2018 2:20:58,21.02,50.1,990.88,10.25,9.20,3.66
2.11.2018 2:21:58,20.99,50.1,990.87,10.21,9.17,3.66
2.11.2018 2:22:57,20.96,50.2,990.85,10.21,9.18,3.66
2.11.2018 2:23:56,20.93,50.4,990.82,10.23,9.19,3.66
2.11.2018 2:24:55,20.90,50.4,990.83,10.21,9.18,3.66
2.11.2018 2:25:55,20.84,50.2,990.79,10.11,9.12,3.66
2.11.2018 2:26:54,20.73,48.5,990.78,9.48,8.74,3.66
2.11.2018 2:27:53,20.59,47.0,990.77,8.90,8.41,3.66
2.11.2018 2:28:52,20.38,47.8,990.71,8.96,8.45,3.69
2.11.2018 2:29:54,20.21,48.6,990.71,9.03,8.50,3.68
2.11.2018 2:30:53,20.11,48.2,990.70,8.81,8.38,3.66
2.11.2018 2:31:53,19.94,49.2,990.71,8.98,8.47,3.66
2.11.2018 2:32:52,19.92,50.1,990.69,9.23,8.62,3.66
2.11.2018 2:33:51,19.94,50.0,990.69,9.21,8.61,3.65
2.11.2018 2:34:50,19.99,50.1,990.69,9.29,8.66,3.66
2.11.2018 2:35:49,20.02,50.0,990.66,9.29,8.65,3.66
2.11.2018 2:36:48,20.06,50.2,990.62,9.38,8.71,3.66
2.11.2018 2:37:47,20.10,50.0,990.62,9.37,8.70,3.66
2.11.2018 2:38:46,20.13,50.1,990.59,9.41,8.72,3.66
2.11.2018 2:39:45,20.16,50.2,990.62,9.48,8.76,3.66
2.11.2018 2:40:45,20.19,50.2,990.61,9.51,8.78,3.66
2.11.2018 2:41:44,20.20,50.6,990.56,9.63,8.85,3.66
2.11.2018 2:42:43,20.21,50.4,990.52,9.59,8.83,3.66
2.11.2018 2:43:42,20.22,50.7,990.48,9.67,8.87,3.66
2.11.2018 2:44:41,20.22,50.6,990.43,9.64,8.85,3.66
2.11.2018 2:45:40,20.22,50.7,990.40,9.69,8.88,3.66
2.11.2018 2:46:39,20.22,50.8,990.37,9.70,8.89,3.66
2.11.2018 2:47:38,20.22,50.9,990.38,9.74,8.92,3.66
2.11.2018 2:48:37,20.22,50.9,990.36,9.74,8.91,3.66
2.11.2018 2:49:36,20.21,51.0,990.35,9.76,8.92,3.66
2.11.2018 2:50:35,20.19,51.0,990.35,9.73,8.91,3.66
2.11.2018 2:51:35,20.20,51.5,990.35,9.89,9.00,3.66
2.11.2018 2:52:34,20.20,52.5,990.34,10.18,9.18,3.66
2.11.2018 2:53:33,20.20,52.3,990.34,10.11,9.14,3.65
2.11.2018 2:54:32,20.20,51.7,990.32,9.94,9.04,3.66
2.11.2018 2:55:31,20.20,51.6,990.30,9.93,9.03,3.66
2.11.2018 2:56:30,20.19,51.8,990.28,9.97,9.05,3.66
2.11.2018 2:57:29,20.19,51.8,990.26,9.98,9.06,3.66
2.11.2018 2:58:28,20.18,51.8,990.25,9.96,9.05,3.66
2.11.2018 2:59:27,20.18,52.0,990.21,10.02,9.09,3.66
2.11.2018 3:0:26,20.17,51.9,990.19,9.98,9.06,3.66
2.11.2018 3:1:25,20.17,52.1,990.15,10.04,9.09,3.66
2.11.2018 3:2:24,20.17,52.2,990.11,10.06,9.11,3.66
2.11.2018 3:3:23,20.16,52.1,990.08,10.04,9.09,3.66
2.11.2018 3:4:23,20.16,52.2,990.06,10.07,9.11,3.66
2.11.2018 3:5:22,20.16,52.3,990.06,10.08,9.12,3.66
2.11.2018 3:6:21,20.16,52.4,990.04,10.12,9.14,3.66
2.11.2018 3:7:20,20.15,52.3,990.01,10.08,9.12,3.66
2.11.2018 3:8:19,20.15,52.2,989.97,10.06,9.11,3.66
2.11.2018 3:9:18,20.15,52.3,989.94,10.08,9.12,3.66
2.11.2018 3:10:17,20.15,52.3,989.94,10.08,9.12,3.66
2.11.2018 3:11:16,20.15,52.3,989.93,10.08,9.12,3.66
2.11.2018 3:12:15,20.15,52.4,989.93,10.11,9.14,3.66
2.11.2018 3:13:14,20.15,52.4,989.93,10.10,9.13,3.66
2.11.2018 3:14:13,20.15,52.5,989.91,10.12,9.15,3.66
2.11.2018 3:15:12,20.15,52.5,989.89,10.13,9.15,3.66
2.11.2018 3:16:11,20.15,52.5,989.86,10.15,9.16,3.66
2.11.2018 3:17:10,20.15,52.6,989.83,10.16,9.17,3.66
2.11.2018 3:18:10,20.15,52.8,989.82,10.22,9.21,3.66
2.11.2018 3:19:9,20.16,53.0,989.79,10.29,9.25,3.66
2.11.2018 3:20:8,20.17,53.0,989.79,10.30,9.26,3.66
2.11.2018 3:21:7,20.18,53.4,989.79,10.41,9.32,3.66
2.11.2018 3:22:6,20.19,53.3,989.77,10.40,9.32,3.66
2.11.2018 3:23:5,20.20,53.2,989.74,10.39,9.31,3.66
2.11.2018 3:24:4,20.21,53.3,989.74,10.42,9.33,3.66
2.11.2018 3:25:3,20.22,53.1,989.71,10.37,9.29,3.66
2.11.2018 3:26:2,20.23,53.1,989.69,10.39,9.31,3.66
2.11.2018 3:27:1,20.24,53.3,989.68,10.46,9.35,3.66
2.11.2018 3:28:0,20.25,53.3,989.66,10.45,9.34,3.66
2.11.2018 3:29:0,20.26,53.2,989.64,10.42,9.33,3.66
2.11.2018 3:29:59,20.27,53.3,989.61,10.47,9.36,3.66
2.11.2018 3:30:58,20.29,53.3,989.61,10.50,9.38,3.66
2.11.2018 3:31:57,20.30,53.2,989.61,10.47,9.35,3.66
2.11.2018 3:32:56,20.31,53.2,989.60,10.49,9.37,3.66
2.11.2018 3:33:55,20.31,53.2,989.57,10.47,9.36,3.65
2.11.2018 3:34:54,20.32,53.2,989.52,10.50,9.37,3.66
2.11.2018 3:35:53,20.33,54.0,989.50,10.73,9.52,3.66
2.11.2018 3:36:52,20.33,54.5,989.46,10.87,9.61,3.66
2.11.2018 3:37:51,20.34,54.0,989.44,10.74,9.52,3.66
2.11.2018 3:38:51,20.34,54.5,989.40,10.86,9.60,3.66
2.11.2018 3:39:50,20.34,54.1,989.38,10.76,9.54,3.65
2.11.2018 3:40:49,20.35,54.0,989.37,10.75,9.53,3.66
2.11.2018 3:41:48,20.35,53.9,989.34,10.72,9.51,3.66
2.11.2018 3:42:47,20.35,54.2,989.34,10.79,9.55,3.66
2.11.2018 3:43:46,20.35,53.9,989.33,10.72,9.51,3.66
2.11.2018 3:44:45,20.35,53.8,989.34,10.68,9.49,3.66
2.11.2018 3:45:44,20.35,54.1,989.32,10.78,9.55,3.66
2.11.2018 3:46:43,20.35,54.0,989.33,10.73,9.52,3.66
2.11.2018 3:47:42,20.35,53.9,989.28,10.70,9.50,3.66
2.11.2018 3:48:41,20.35,54.1,989.24,10.76,9.54,3.66
2.11.2018 3:49:41,20.35,54.2,989.20,10.80,9.56,3.66
2.11.2018 3:50:40,20.35,54.0,989.15,10.73,9.52,3.66
2.11.2018 3:51:39,20.35,53.9,989.10,10.71,9.51,3.66
2.11.2018 3:52:38,20.35,54.0,989.08,10.74,9.53,3.66
2.11.2018 3:53:37,20.35,54.1,989.07,10.76,9.54,3.66
2.11.2018 3:54:36,20.35,53.9,989.08,10.70,9.50,3.66
2.11.2018 3:55:35,20.35,54.0,989.11,10.74,9.53,3.66
2.11.2018 3:56:34,20.35,54.0,989.08,10.73,9.52,3.66
2.11.2018 3:57:33,20.34,53.8,989.06,10.67,9.48,3.66
2.11.2018 3:58:32,20.34,53.9,989.03,10.71,9.51,3.66
2.11.2018 3:59:31,20.33,53.9,988.98,10.68,9.49,3.66
2.11.2018 4:0:31,20.33,54.0,988.94,10.71,9.51,3.66
2.11.2018 4:1:30,20.33,53.9,988.92,10.69,9.49,3.66
2.11.2018 4:2:29,20.32,53.9,988.87,10.67,9.48,3.66
2.11.2018 4:3:28,20.32,53.9,988.83,10.69,9.49,3.66
2.11.2018 4:4:27,20.32,53.8,988.82,10.66,9.47,3.66
2.11.2018 4:5:26,20.32,53.8,988.82,10.64,9.47,3.66
2.11.2018 4:6:25,20.31,54.0,988.85,10.72,9.51,3.66
2.11.2018 4:7:24,20.31,53.9,988.84,10.68,9.49,3.66
2.11.2018 4:8:23,20.30,54.2,988.79,10.75,9.53,3.66
2.11.2018 4:9:22,20.30,54.1,988.74,10.73,9.52,3.66
2.11.2018 4:10:21,20.30,53.9,988.73,10.66,9.48,3.66
2.11.2018 4:11:20,20.30,53.6,988.75,10.59,9.43,3.66
2.11.2018 4:12:20,20.29,53.8,988.76,10.63,9.46,3.66
2.11.2018 4:13:19,20.29,53.8,988.80,10.62,9.45,3.66
2.11.2018 4:14:18,20.29,53.5,988.81,10.55,9.41,3.66
2.11.2018 4:15:17,20.29,53.8,988.80,10.63,9.46,3.66
2.11.2018 4:16:16,20.29,53.7,988.81,10.60,9.44,3.66
2.11.2018 4:17:15,20.29,53.6,988.80,10.58,9.43,3.66
2.11.2018 4:18:14,20.29,53.6,988.80,10.58,9.42,3.66
2.11.2018 4:19:13,20.28,53.6,988.79,10.57,9.42,3.66
2.11.2018 4:20:12,20.27,53.8,988.80,10.61,9.44,3.66
2.11.2018 4:21:11,20.27,53.8,988.80,10.61,9.44,3.66
2.11.2018 4:22:10,20.27,53.7,988.83,10.59,9.43,3.66
2.11.2018 4:23:9,20.26,53.8,988.82,10.60,9.44,3.66
2.11.2018 4:24:9,20.26,53.9,988.80,10.63,9.46,3.66
2.11.2018 4:25:8,20.25,54.1,988.78,10.69,9.50,3.66
2.11.2018 4:26:7,20.25,53.8,988.75,10.59,9.44,3.66
2.11.2018 4:27:6,20.25,53.9,988.75,10.61,9.45,3.66
2.11.2018 4:28:5,20.24,54.1,988.76,10.66,9.48,3.66
2.11.2018 4:29:4,20.24,54.0,988.80,10.64,9.47,3.65
2.11.2018 4:30:3,20.23,53.8,988.82,10.58,9.43,3.66
2.11.2018 4:31:2,20.23,54.0,988.85,10.62,9.45,3.66
